"anonym_id","general_feeling","general_feeling_cause"
42,-1,"I live in a foreign country & very much miss my social circle + the outlook on the job market as a researcher is horrible."
43,3,"I feel so lucky to be able to help conduct research. I'm incredibly passionate about it and hope to make a career with it"
44,-1,"A bad relation to my supervisor"
45,3,"I like research"
46,2,"I can do what I love to do"
47,1,"A lot of pressure"
48,2,"Grant writing on own ideas"
49,1,"Negatives: Still being a postdoc with two or three-year contracts and not being eligible to apply for some good grants because of not having a tenure track or permanent position. Being late to start a family because of prioritizing research. Positives: Being exposed to different research environments, meeting colleagues from all over the world, publishing, and supervising students."
50,2,"The freedom to conduct research and work on topics and issues that I feel are relevant and interesting. However, I was blessed with a very safe and stable research environment (interpersonally and financially) and my overall feeling will very likely change once this opportunity runs out."
51,1,"I like research and being able to do this for a living is pretty great"
52,1,"I am very happy that I have the opportunity to contribute to a higher cause, but somethimes its frustrating how little appreciation and salery one recieves for so many years of training"
53,1,"i like the work and am proud of this identity"
54,2,"Interest, motivation and supporting environment"
55,2,"I want to gain a deeper understanding of animals and my research helps me do so"
56,2,"engaging in the process of knowledge generation is a privilege and the different components of the work are interesting to carry out"
57,3,"I love exploring new things and being able to work on topics that I am passionate about. I also really enjoy the autonomy of this work and the recognition that you receive for it. "
58,2,"Happy to be able to do what I do; general contentment."
59,2,"I think research is an important thing and I am happy and proud to be a researcher and with that a part of it."
60,2,"Academic freedom"
61,2,"enjoying research"
62,-2,"Career stage (first year PhD, things feel chaotic and a lot is new)"
63,2,"Family support "
64,3,"My supervisor is a very nice person, compassionate and professional, who takes care about the research, but also about me. Having the enthusiasm to find something new and change the world, and deeply sharing these feelings with someone makes me feel extremely happy and powerful."
65,2,"My being a researcher comes from an intrinsic interest and passion for the topic I study and for wanting to learn. I think having an internal motivation to do research is key to having a positive experience"
66,2,"I just really enjoy this work, the creativity, reflecting, observing"
67,1,""
68,-1,"My loneliness entangling with a line of worke directly consuming mental energy"
69,1,"freedom to work how/when/where I want, but the freedom comes with the price of having to work whenever and wherever (i.e., bad work-life balance, high work pressure)"
70,-1,"I'm overloaded with work, teaching duties leave little time for research, and I feel I have to dedicate too much time to things that are not directly research itself (e.g. submission systems, self promotion, etc.)"
71,2,"I just like the job. "
72,-2,"Constant fear of missing deadlines, a lot of projects to work on."
73,2,"I feel valued by my research community. I feel like I find 'my type of people' with aligned interests and capabilities. I feel seen. I"
74,0,"I am a researcher because I like research, but that's the only reason."
75,1,"I love doing research, but I hate all the other things that come with it"
76,2,""
77,2,"I enjoy doing research "
78,2,"I am constantly working on new a varied projects that force me to learn more about the social world, as well as contribute to knowledge."
79,1,"I am proud of my work so far, but yet I feel like I have not done enough research as an early career researcher when compared to other ECRs."
80,2,"I'm a very curious person and I enjoy the scientific process."
81,2,"Love for my discipline: language studies"
82,2,"I like designing experiments, programming, analyzing data. This is fun! "
83,1,""
84,-1,"I work at a teaching centred university so have little time for research. When I do get time to lead research, I feel rusty and under-experienced compared to others at a similar age and career stage, like I'm still just an amateur."
85,1,"At a high level, I love my job and remain passionate about research and academia. There are also a lot of day to day stressors (deadlines, rejections, job market, etc.)"
86,-2,"lack of support, financial instability"
87,1,"I think conducting research is a combination of excitement, curiosity, and frustration. Excitement because it's exciting to have new ideas and questions to answer; curiosity because it motivates everything researchers do (hopefully); and frustration because science is hard and things rarely work out they way we anticipate them to."
88,3,"The love i’ve gained for the process of conducting research and what results can bring to the field of psychology. "
89,2,"I like research when I am interested in the topic or research question.  I don't like a publish-or-perish atmosphere."
90,0,""
91,-1,"The lows are somewhat balanced out by occasional highs, but the highs are short-lived."
92,3,"I learnt a lot. "
93,3,"The freedom offered in my project to do things I'm interested in"
94,2,"bad salary"
95,3,"Pride at creating lasting change/improvement. Autonomy."
96,2,"The ability to decide what I work on and the work with great collaborative colleagues."
97,2,"curiosity is a very good engine!!"
98,2,"excitement "
99,2,"Important and interesting work"
100,3,"This is what I love to do."
101,2,""
102,3,"It is a truly rewarding experience to pursue a question that fascinates you, delve into its underlying mechanisms, and ultimately translate your discoveries into practical applications"
103,3,"i love physics"
104,2,"Stimulating work, great people "
105,1,"Contributing to society, and working with others is positive. "
106,-1,"Problems with a not scientific experienced superior. "
107,3,"Anticipation of positive results"
108,1,"I like the work, but short term employment and funding pressures brings down the enjoyment of the work. "
109,2,"Excitement and passion towards my research journey"
110,0,""
111,2,"I've discovered a lot of things, and achieved many insights, over the last 60 years and have been recognized for some of them."
112,3,"good life"
113,3,"my work in research is what I love to do"
114,1,"life work balance is hard"
115,-2,"I no longer have paid employment in a university "
116,0,""
117,2,"I think our research will affect care of patients."
118,0,"I'm priviledged to even be able to be here. But it's a very precarious world."
119,2,""
120,1,"Ambivalence. Unstable career prospect, precarity vs. fulfilling passion with my work"
121,1,"Hurdles are many since there is a lack of institutional support"
122,2,""
123,1,"A lot of efforts and limited achievements"
124,1,"uncertainty and instability in job"
125,-2,"Lack of recognition. The amount of work build into is probably not worth it "
126,1,"I think I might not be creative enough and I find writing quite hard. I am currently at the writing stage. "
127,2,"believing that what I do matters and helps people "
128,2,"Right now, that feeling is because I realize that this job gives me the freedom and time and latitude to fail and make mistakes and learn."
129,0,"I'm neutral because I love collecting data, feel frustrated about needing to chase funding, and regret not having enough time to write."
130,2,"Love most activities: statistics, experiments, contemplation, writing..."
131,3,"The interest I take in the research topics I take on and the success I've had pursuing them."
132,1,""
133,2,"People + success"
134,2,"The ability to study only topics that i find interesting. "
135,1,"balancing research (which I love) with teaching and university administration"
136,2,"The freedom to pursue ideas I find interesting "
137,2,"Feeling I do something that matters beyond myself, but also accomplishments and financial security"
138,-1,"Nothing goes as planned and as fast"
139,1,"I think the good outweighs the bad for now. There are always some problems arising, but all in all, it's quite meaningful work. I'm also earning more than I would have expected before getting into it. "
140,2,"I think doing research is fun and exciting for the most part . I can get burnt out on writing, and i do not have the desire to be super prolific. I want to dabble in research."
141,2,"the search for answers"
142,1,"That research goes in line with my couriosty in life but it produces stress and comparisons with other too"
143,1,"I like it. I like science, and my specific field I find especially amusing. It is doubted by many (I study psychology), and I want it to be reliabale and valid. If the fate of my field is to be terminated, I want to be a terminator (in a good sense. To put it differently: I'd rather see my science collapse, than be unvalid or not trust-worthy)"
144,1,"It is what I want to do, but uncertainties as a first-generation woman early career researcher from a low-middle SES background and middle-income country yield many negative feelings."
145,3,"automony in research and supportive work culture"
146,3,""
147,2,"I like my work but it's hard to find permanency"
148,2,"The impacts of our daily work"
149,-2,"my time of research is not paid at all"
150,3,"Overall, I would rate my feelings about my life as a researcher as very positive, despite the challenges and pressures that come with the role. I find the work intellectually fulfilling, and I value the contributions I am able to make through my publications and ongoing projects. The main cause of these positive feelings is the sense of purpose and accomplishment that comes from conducting meaningful research and successfully disseminating my findings. As a senior researcher with substantial publishing experience over the past five years, I feel motivated by the impact of my work, the opportunities for continuous learning, and the recognition that comes with scholarly productivity. Even though the pressure to maintain a high level of output can be intense at times, the overall satisfaction and intellectual engagement outweigh the difficulties."
151,1,""
152,2,"Originality"
153,-1,"Pressure to get funding"
154,1,"Economic unsecure. "
155,2," I do what I want to do"
156,2,"I like it."
157,2,"Having a job where I get paid for doing what I love. There's also considerable amounts of freedom and satisfaction of curiosity associated with it."
158,0,"Policy of tge university, colleagues, society expectation, workload"
159,2,"I am genuinely passionate about my research. I give it a +2 instead of +3 because current funding vulnerability in academia puts a lot of pressure on writing grants. Pressures from university are not fun. So I am actually leaving my academic post at university to pursue this independently so I can take control of my science and research my way, not having to care about what management thinks. "
160,2,"It is an enjoyable activity"
161,2,"a sense of purpose and fulfillment"
162,1,"It is great but the financial part is not so positive, and also I am only researcher on projects so on determined periods. It is very hard to get a permanent position in a University."
163,1,"intellectual freedom"
164,2,"I a very privileged to be a researcher. I am lucky that I am able to pursue a curiosity driven career"
165,2,"Proof of Living."
166,2,"Network"
167,2,"Intellectual stimulation; a certain degree of moral righteousness associated with attempting to clean up the field's bad practices "
168,2,"success "
169,-1,"Excessive workload (I am EU projects coordinator on behalf of my university), publish or perish pressure, (I have one last year left to publish as the first author in SSCİ indexed journals) work-family conflict (mom of 2)"
170,-1,"Doing research has become increasingly difficult considering that universities (at least in the UK) are experiencing a lot of financial difficulties, increased workload, and changes to the students' culture and attitude, and importanting funding environment which is more and more targetted which is also extremely more competitive."
171,2,"I do what I like and I was prepared for. It's an honor to do this job."
172,3,"I fell that my research can make some difference "
173,2,"interest in the outcome and projection of its usefulness"
174,1,"The finished studies and publications."
175,1,"balancing interest and dedication to the projects and anxiety/ fear to fail"
176,2,"I do what I like"
177,2,"Satisfied curiosity, interaction with interesting people"
178,0,"-"
179,2,""
180,2,"Keep moving, curiosity"
181,3,"Fulfilment of enthusiasm and share endeavours on a range of studies back to 1971 which have generated over 800 publications. This has been in parallel with clinical work which has also had joy and frustration at times."
182,-1,"Feeling that the research results could not cause change decreased my motivation on the subject."
183,3,"do things in my interest. job goes in line with my interest."
184,2,"Having the opportunity to do something that I really like."
185,1,"I HELP OTHER"
186,-2,"Being based in the USA. the funding situation is horrible. This had led to a decreasing job market, layoffs of my peers, and a sense of being stuck. I am fortunate to have the job I do, but I would still like to be able to have options if I ever needed to leave."
187,0,"Hardness generally speaking"
188,2,"On the rare times when one gets to experience discovery, it somehow justifies all of the other processes surrounding it"
189,2,"While often frustrating, I love the work and feeling like I""m making a difference in the world. "
190,2,"Making a difference"
191,2,"Satisfaction to see fin manuscript in print"
192,3,"Pride in the work that I produce"
193,3,"sense of accomplishment"
194,2,"I get to study what I want but due to changes in my job I have almost no time for the deep thinking I enjoy doing about it. And students are increasingly ill-prepared by the time they get to me."
195,1,"It's a great job, but I have no job security."
196,2,""
197,2,"Up to now, my research career has been relatively smooth and has met my expectations. I think working as a researcher suits me well. I cannot think of a better job for me."
198,2,"I enjoy the flexibility and variety it offers"
199,2,"Curiosity and love for research "
200,0,"Realistic approach, there's lot's of perks to this job but the emotional burden is quite high, so overall it's neutral"
201,0,"Too tired."
202,1,"I enjoy the challenge of trying to learn more and the achievement of publications and grants."
203,2,"Because I love my job "
204,-1,"Isolated work conditions, lack of supervision, constant pressure to produce, cannot identify with quantity over quality approach"
205,2,"learning "
206,2,"Obtaining results that answer relevant questions in helping improve patient quality care "
207,3,""
208,-2,"We are overworked and underpaid chasing papers that may or may not be published despite the blood, sweat, tears and coffee put in. There is nothing to look forward to except for being a cog in the machine. At this point, teaching and conferences keep me going. Perhaps occasionally, the excitement to conceptualise a new project comes about - but then the existential dread returns after submitting a paper. "
209,2,"It is a wonderful position and it allows one to investigate what one is interested to investigate."
210,1,"i love research but not have enough resources or guidence most of the time it makes the process a little frustrating"
211,3,"Balance between my family, my husband, friends and my work "
212,-1,"The ratio between ""null"" and ""positive"" projects. My work has generated more ""unpublishable"" null results."
213,2,""
214,2,"I think we can change the world positibely "
215,-2,"not having enough time to write up my original data"
216,2,"I love what I do, and I think I have a positive impact on people's life."
217,2,"Satisfaction in discovering new aspects of medicine. Potential to have positive impact on life of many people."
218,3,"it is a joy to be able to live a creative life, and actually get paid too put my ideas in the world, test them, connect with others, and experience recognition for my intellectual effort. I feel like I am contributing to my field and having fun."
219,3,"I enjoy what I do and find it challenges me to learn and extend myself."
220,1,"I find value, purpose, and meaning from my work (+3 or above), but I find the life demands of a research to be very difficult and taxing (fairly negative: -2), so it becomes a +1 overall"
221,3,"Intellectual freedom"
222,3,"Contributing to the evidence to ensure best practices "
223,1,"Deadlines"
224,3,"accomplisment"
225,3,"Creativity, relative freedom and communication within clever audience."
226,2,"the autonomy and gratifying relationships it brings"
227,3,"it is nice to invent new things"
228,3," Challenging, interesting and rewarding "
229,3,"Research allows me the freedom to pursue phenomena I think are interesting.  Work can be structured in ways that suit the other aspects of my life."
230,2,"So interesting, hardly ever bored, also had some success with it"
231,3,"Being able to contribute to research that in some causes has profoundly changed the lives of some patients."
232,0,"Main allocation is teaching, don’t get time to focus on research"
233,3,"I have been very successful in my research: I am internationally recognized scientist"
234,3,"This job is very exciting."
235,2,"passion"
236,3,"I love my job and feel very privileged to do something that gives me purpose and motivation."
237,1,"I love to work on research topics on which i am interested"
238,1,"Doing interesting things"
239,-1,"Toxicity in academia, e.g. competition with colleagues for grants and accolades, feeling isolated, pressure to perform and publish"
240,2,"It is really interesting to see if how our ideas and hypothesis are met within the real world or after conducting the experiments. Also, contributing to the accumulation of human knowledge is very exciting."
241,2,"The satisfaction of having my research accepted by a journal or winning an award."
242,2,""
243,2,"A sense of accomplishment and legacy"
244,-1,"Stress on having new publication without any interruption"
245,-3,"Imposter syndrome "
246,3,"Everything I have made as a Clinician is closely related with research, and I´m so grateful with that."
247,2,""
248,2,""
249,1,"Many competing responsibilities that result from being a university professor - so there is not enough time for research."
250,2,"I like what I do, I develope in my work, I appreciate topic which I can explore and people with who I work"
251,2,"It fits with my skills and preferences, it lets me freedom to live family time (although it is often riddled with work)"
252,2,"Freedom to work on interesting things"
253,-2,"I don't have many publications. I got my PhD a couple months ago, and during my PhD (and sometimes these days), my advisor repeatedly telling me that I wouldn't be able to find a job with this few publications and that I need to keep publishing. I know she is right, but still, that makes me feel sad and inferior."
254,2,"I am quite positive about my life as a researcher. I know it is an unstable and insecure life path, but once I get the funding, I feel fortunate to be able to dedicate my time to explore topics I am passionate about."
255,3,"pride and freedom"
256,-1,"many stress, many obligations, many duties"
257,-2,"How lonely and isolating it is"
258,2,"I'm a grad student with a lot of research ideas and two advisors who are supportive of me pursuing them (not only/mainly being on their projects). So I enjoy the freedom and the ability to research what I'm interested in. I also just enjoy learning in general."
259,0,"Sometimes things go wrong and sometimes things go right"
260,0,"I have very little pressure to publish in my career stage and I do enjoy engaging in the research process. In short, I wish I could do more, but other duties and obligations make that difficult."
261,2,"I am doing what I like to."
262,1,"the pressure, the administration and overly complicated processes push it down from +2 or +3"
263,1,"I enjoy research but am not always very confident about navigating funding/publication/etc."
264,1,"Better-paying job than most people one"
265,1,"Comparing myself unfavorably to others keeps me from being a +2 or +3"
266,2,"Scientific curiosity, enjoyment of working with colleagues, and independence in my scientific work. "
267,2,"I love my field of research and the process of generating literature and contributing to ongoing research is fulfilling in itself. "
268,2,"Working with colleagues and amazing trainees and seeing their growth along with the research discoveries."
269,2,"I mainly feel positive because I love what I do, I find it fun, and I think I might be making some contributions to knowledge that can help make peoples' lives better, but even if not, I'm able to train future scientists and give them skill that will bolster their professional advancement abilities. The only reason my rating is not a 3 is because sometimes the process can be slow, I don't great support at my institution for carrying out research, and I can sometimes doubt translation to practice."
270,-2,"I really enjoy research, however when I think about the 'publish or perish' stuff or the competitiveness, it makes me feel really down. I am terrible at getting things across the finish line and published and I feel poorly about that. Love generating ideas, conducting research, etc., but I am a serial abandoner"
271,2,"Pride and interest in research"
272,2,"My relationships with my supervisor and my lab colleagues (fellow Phd students) and my supervisees.."
273,3,"I am near or at the top of my discipline worldwide."
274,1,"Current funding situation and the administrative load I experience."
275,2,"The job provides flexibility, constant learning, and diverse tasks. I also have very good support from my colleagues."
276,2,""
277,1,"It is only not ""extremely positive"" because research is a lot of work! And sometimes it can be disappointing when data is confusing."
278,1,"freedom about my projects and schedule"
279,2,"I love research may be because of that "
280,3,"My supervisor(s)"
281,1,"Some aspects of research are difficult spurring questions about my future endeavors. "
282,2,"the intellectual challenge, the freedom, the international context, but not a +3 because there is also a lot of stress"
283,2,"The topic I am studying in is my passion."
284,2,"I enjoy what I am doing and how I do it. "
285,2,"My job is extremely interesting, but I don't always have adequate working conditions."
286,1,"I feel I am contributing important knowledge to the world."
287,-2,"It’s a lot of work with little recognition for it. Salaries are ridiculous. "
288,1,"Interest"
289,0,"Thus far, I have only conducted research as a graduate student, which has its pros and cons. While I do enjoy investigating topics of interest to me, I have not had good advisors, and having to run everything by them and make changes to my work that I don't agree with just to appease them takes the fun out of it and can really delay my progress."
290,1,""
291,-1,""
292,1,"I enjoy the freedom to choose which tasks I do and when to do them, but there are also some downsides to being a researcher."
293,2,"i get to look at interesting topics as my job and do things that are fun for me. also i like the variety of different tasks"
294,2,"Feeling that I can have an impact on improvement and development of the science"
295,2,"I'm doing what I love."
296,2,"I like doing research"
297,-1,""
298,2,"Difficulty in combining family life with work (not enough time to devote to research activity, which makes the process longer)"
299,-2,"My results are poor, and I am very slow and disorganised in my research, and not independent enough in my opinion."
300,1,"Lack of funding"
301,2,"I really love what I do and I find deep gratification of using my work for the greater good "
302,2,"I feel like the work I’m doing is important and utilizes a lot of skills that I have."
303,2,"Autonomy"
304,1,"Lack of full experience "
305,2,"interest in the discovery of new results"
306,1,"I feel blessed that I get to travel, live abroad, and experience many unique and cool things in my research. Overall, my quality of life is very good and my work is flexible. However, it can be isolating and lonely at times."
307,2,"getting to learn new things"
308,-1,"Research takes much from the private life"
309,1,"the financial difficulties, the difficulties to publish the research work especially if results are not so positive, the pressure about publication"
310,2,"It is both my interest and my ideal career."
311,3,"recent successes"
312,1,"I love researchj but it has alot of stress and egoism associated with it"
313,3,"Help and support "
314,1,"I enjoy most steps of research but have some negative feellings regarding the pressure to find funding"
315,2,"Excitement and pride in contributing to the world's betterment."
316,0,"The joy of achieving results and the sorrow of experimental failure."
317,3,"good questions that help people and interesting results that push to further questions"
318,-1,"Constant expectation and demands with poor funding availability"
319,1,"Good but could be better. I need to hire a research coordinator "
320,-2,"Very high workload, excess of bureaucracy and administrative duties, lack of recognition"
321,1,"It is a mixbag between positives, from tasks where I have an impact (supervision, admin tasks...), and tasks where this impact is lesser (extent of my research work, where I do not feel I have an important impact)."
322,2,"Flexibility and autonomy to work on topics i am passionate about. "
323,3,"I enjoy exploring ideas and training others."
324,3,"Freedom"
325,2,"enjoyment in the work"
326,2,"learning new things, discovery"
327,1,"Freedom and flexibility"
328,3,"Accomplishments during time"
329,3,"i have financial indepedence, so doing research is a choice."
330,-1,"I love being a researcher but it is tough to be still dealing with uncertainty after many years, only getting temporary positions, in different places, also challenging the stability of my family"
331,2,"I have an opportunity to follow my interests"
332,0,"The current funding landscape in the US and the increase in administrative duties I have encountered recently"
333,2,"research is interesting, full of surprises and also satisfactory to understand things which i did not do so until earlier"
334,-1,"The pressure to be productive AND achieve grant funding is debilitating. "
335,1,"Satisfaction "
336,2,"I enjoy the work and feel accomplished and valued in this work.  I am proud of the work I am doing."
337,1,"I am honored to have a career that I sought and I do enjoy research.  I am way overworked though and funding has become so politicized.  "
338,2,"Meaningfullness and control over time/workplanning"
339,1,"scientific interest"
340,1,"I generally enjoy the day-to-day tasks of a researcher and I am proud to be doing what I'm doing. But it's not light work."
341,0,""
342,3,"autonomy, curiosity, social interaction"
343,1,"I dont have time to do my oun research which is the best part of research..."
344,2,"I choose my project and my strategy every day, every week, every month"
345,-1,"Pressure to publish, lack of clear career path in academia, not enough monetary compensation for the skill labor we provide."
346,1,"i'm not sure"
347,1,"A little proud of both the quantity and the quality."
348,1,"I think I could have published much more"
349,1,""
350,-1,"The constant expectation of failure."
351,-1,"Current USA research climate is very grim and not encouraging. Funding sources are extremely limited. I worry about my financial ability to maintain this career. "
352,2,"experiencing the impact and science behind my everyday practice"
353,2,"Interested in the topics and like working with my colleagues"
354,2,"Not being forced to work for profit, exploring a topiv because it is interesting rather then profitable"
355,2,"It is hard sometimes but the purpuse deserves it."
356,1,"rewards were not enough"
357,3,"The fact that my job is my hobby"
358,3,"good outcomes"
359,2,"Being able to answer clinical questions based upon research"
360,-3,"I took on the role of highlighting errors in current systemic approaches - this was not welcomed"
361,3,"I love what I do."
362,2,"I enjoy research, but didnt rate it as 3+ due to the challenges associated with conducting research at my institution "
363,3,"Get my targets"
364,0,"difficulties>success"
365,-1,"So much frustration around the administrative part of it. So much work on cutting word count in mansuscripts and formatting things, why?"
366,3,"I work with great people and have good work life balance"
367,2,""
368,-1,""
369,3,"I love research"
370,-2,"clinical dutoes are overwhelming "
371,1,"I think it's a positive thing because you learn a lot and meet very interesting people. But it's a very demanding life and sometimes it consumes you.  "
372,2,"I believe our research suits me well, and I truly enjoy working on it."
373,3,"Success, influencing the field, improving lives of affected persons"
374,2,"overall positive but also stressful"
375,3,"I like thinking about, and writing about, new ideas. "
376,2,"Discoveries or achievements following repeated failures in the study"
377,-1,""
378,2,"Internal Happiness"
379,2,"I am able to do substantial, relevant work on my own without any guidance or (large scale) institutional support."
380,2,"I feel I do important work"
381,0,"i do it but it is no more my passion"
382,1,"pressure"
383,2,"I love doing research. But as an academician and clinician as added role, it is not possible to dedicate whole time on research."
384,1,"In my country the Netherlands the terms of employment are good (salary, holiday days, holiday allowance, end of year allowance, etc). Talking to participants, teaching and presenting novel findings is exciting. "
385,1,"I think I'm not a talented researcher, but I learned a lot through doing research, especially the ability to cooperate with other researchers, the ability to lead a project, the ability to negotiate with different  people. Doing research allow me to learn the ability of close-loop, with not very harsh punishment compared to going to a company. Although the time here is long and sometimes tired, but I do acknowledge the time here to allow me growth under a kind supervisor."
386,2,"I very much enjoy it but in my opinion there are too many publications and hardly any time to catchup with them."
387,2,"The fact of having given relevant contributions to this research field"
388,3,"freedom and curiosity"
389,2,"because it is a fascinating and in its best way idealistic job"
390,2,"I like to work with great people solving puzzles, so the job fits"
391,1,"Low amount of recurses"
392,3,"great success, well-known and respected in the field, excellent income and time commitment."
393,1,"Despite all the many negatives, its a cool job"
394,3,"I enjoy the research I do and feel happy about doing research I care about and can do well"
395,-1,"Mobbing from the head of department "
396,3,"I feel as a researcher I am contributing to the exiting knowledge, research is helping me to answer my questions as well aiding making decisions to solve problems and improve further."
397,1,"maddi imkansızlıklar, gelecekten umutsuzluk"
398,2,"It keeps me always interested and alert"
399,3,""
400,2,""
401,1,"Freedom of choice of area of research versus finding funding conduct the research in the chosen area to the desired depth."
402,3,"A sense that the research I am doing can make the  world,  or part of it, a better place."
403,-1,"I'm just not good at it. But I like the flexible work hours."
404,2,"I like challenges"
405,2,"Depression"
406,3,"stimulating challenge and the experience of new knowledge"
407,2,""
408,1,"I do not have sufficient time to dedicate myself to real research."
409,-2,"I feel the need to publish despite not having interesting findings which causes my work life balance to be miserable."
410,0,""
411,3,"I enjoy research, it has always been fun!"
412,1,"Not enough time for research"
413,1,"Research Capacity"
414,3,"For me, being a researcher is one of the great privileges of my life. I'm so, so thankful that I get to do this as a job! "
415,-1,"I am feeling less positive due to the pressures of the job market, and the feeling that a lot of what we do is about impressing others rather than doing the best research "
416,2,""
417,-1,"Lack of time, many burocratic things to do, lack of support from the host institution "
418,-1,"Workload."
419,3,"The chance to focus on different domains while doing data analysis, the feeling to know that there is a chance to find important not yet known knowledge from raw data"
420,3,"Understand mysteries of life and have the possibility to generate information that will save life"
421,2,"I like what I do (the plus size) but I also have to do things I don't like (administration, grant writing, dealing with editors, etc.)"
422,1,"Enjoying meaning-making and collaboration with thoughtful people while recognizing the significant limitations of research and academia"
423,2,"There are a lot of positives that we too often take for granted, like autonomy, curiosity, travel and interesting colleagues but also a lot of unnecessary problems and a culture of negativity that brings everybody down."
424,1,"I appreciate that I am able to form my own questions and actually set out to answer them. This is a very satisfying feeling for me."
425,2,"research is fun"
426,1,"Opportunity to study and help resolve interesting problems."
427,NA,""
428,NA,""
429,NA,""
430,-1,"Because I entered this career path wanting to be a scholar not an academic machine "
431,NA,""
432,NA,""
433,NA,""
434,2,"I have wonderful colleagues, supportive supervisors, and I get to research a very interesting topic. "
435,2,"Feeling like I’m doing something that could benefit humanity in some way. Exploring trends in data gives to get a broad overview of a situation or better understand patterns is very satisfying."
436,-1,"Uncertainty for the future, stress for too many projects"
437,NA,""
438,NA,""
439,NA,""
440,NA,""
441,0,""
442,NA,""
443,NA,""
444,2,"getting your work internationally recognized / published, doing new things / new findings "
445,NA,""
446,NA,""
447,3,"I love what I do. The process, students, meetings, planning. EVERYTHING!! (except bureaucracy)"
448,NA,""
449,NA,""
450,NA,""
451,NA,""
452,NA,""
453,NA,""
454,NA,""
455,3,"processing is mentally engaging and social"
456,NA,""
457,NA,""
458,NA,""
459,NA,""
460,1,"It is so interesting but so frustrating much of the time"
461,NA,""
462,NA,""
463,NA,""
464,1,"Ability to conduct interesting research"
465,NA,""
466,1,"I like to conduct research. However, my current professional situation is uncertain and diminishes my enthusiasm. I look forward to receiving a grant and become an independent researcher."
467,1,"engagement in projects but not in salary"
468,2,"I like my job, and related life style also."
469,2,"Success"
470,NA,""
471,2,"The stimulation of identifying things we don’t know and figuring out how to learn that. how to "
472,NA,""
473,NA,""
474,NA,""
475,NA,""
476,NA,""
477,NA,""
478,NA,""
479,NA,""
480,NA,""
481,NA,""
482,NA,""
483,NA,""
484,NA,""
485,NA,""
486,NA,""
487,NA,""
488,NA,""
489,NA,""
490,NA,""
491,NA,""
492,NA,""
493,NA,""
494,NA,""
495,NA,""
496,2,"Met interesting people along the way"
497,3,"Pursuit of knowledge "
498,NA,""
499,NA,""
500,1,""
501,1,"It is interesting to learn new things and I also value academic freedom. However, sometimes I feel I'm not as eager and committed researcher as some others and that makes me feel that I'm not enough."
502,NA,""
503,NA,""
504,2,""
505,NA,""
506,2,"achievements"
507,NA,""
508,NA,""
509,NA,""
510,-1,"my crazy pi"
511,NA,""
512,NA,""
513,NA,""
514,NA,""
515,NA,""
516,NA,""
517,NA,""
518,NA,""
519,NA,""
520,1,"I am not involved in research as much as I used to but am happy that I am continuing "
521,NA,""
522,NA,""
523,NA,""
524,NA,""
525,NA,""
526,2,"Having the ability to do diverse things, contribute to the ""big picture"" of medicine and more patients than just those at hand"
527,NA,""
528,NA,""
529,NA,""
530,NA,""
531,NA,""
532,NA,""
533,NA,""
534,NA,""
535,NA,""
536,1,"lack of institutional and financial support"
537,NA,""
538,NA,""
539,NA,""
540,NA,""
541,NA,""
542,NA,""
543,NA,""
544,NA,""
545,NA,""
