"anonym_id","research_stage","research_stage_feeling_cause"
33,"Revisions",""
34,"Preparations (IRB permit, preregistration, experiment preparations)",""
35,"Report writing","I felt really proud, as this is the first paper on a research line that I wanted to pursue for a long time and which has taken quite some effort and time to get to. "
36,"Preparations (IRB permit, preregistration, experiment preparations)","Time pressure"
37,"Data collection","On one hand, enjoying the data collection process and seeing how things that I had planned start to materialise make me feel excited and happy. On the other, not everything works out, I do not have access to all the people and spaces I would like to, and that makes me feel a bit scared of not being able to complete my project, or not with the quality I would like to, and also make me feel that I might be the problem because I do not know how to approach some of the people."
38,"Project genesis/ first thoughts/ idea creation",""
39,"Preparations (IRB permit, preregistration, experiment preparations)",""
40,"Data collection","Pride, because my students are doing an amazing work during data collection. It feels like all the supervision paid off, as they are becoming more independent"
41,"Preparations (IRB permit, preregistration, experiment preparations)","I feel compassion about my work and pride that I have the strength to push the project further"
42,"Data collection","Pride because i have started data collection for my first project not too long ago & just checked if the data looks okay (made some simple plots) & it looks really good :)"
43,"Report writing","Fear was the feeling I felt most intensely because I was working under a tight deadline, and felt like I had no right to ask for help from my co-authors. Sometimes I didn't know if what I wrote was what the journal asked for, or made sense for the paper. Feedback I received from my principal investigator was sometimes vague or frustrating, and again, I had to work on writing under very tight deadlines"
44,"Report writing",""
45,"Preparations (IRB permit, preregistration, experiment preparations)",""
46,"Data collection",""
47,"Report writing","As a first-author, having the pressure of getting the manuscript finished in a timely manner"
48,"Project genesis/ first thoughts/ idea creation","Promise to reach the research goals by year end. This creates the sense of urgency and the fear of failure to underperform."
49,"Report writing","I chose ""relief"". The study began in 2021. In the meantime, I changed my workplace and research topic. As a first author, I felt relieved when I finally finished all the analyses and submitted the manuscript this month. "
50,"Report writing","Interest: I am genuinely interested in the research that I do (and a lot of research areas in general). I am curious about what I can find in the data and how I can present it in a way to peers that it is easily understandable and transparent."
51,"Data analysis","Interest - it is a cool project and I am genuinely curious to make this work and to figure out the answer to the rq"
52,"Preparations (IRB permit, preregistration, experiment preparations)","Shame, because I have the feeling to work not as swift and good as anybody else in my group"
53,"Data analysis",""
54,"Data collection","compassion, Dealing with young people who have undergone through an irrevirsible injury made me feel empathy for their struggles and keep them in mind long after the session was concluded."
55,"Data collection","I am learning many new techniques and I learn them quickly and efficiently"
56,"Data analysis","tension with senior collaborators and supervisors over being told to engage in questionable research practices"
57,"Revisions","Pride and contentment because we received an R&R at a top journal. "
58,"Data collection","Disappointment: Low participation numbers.
Pride: Happy to have gotten to this stage."
59,"Data collection","Interest & Pride: Since the research question and study in general is interesting, I felt these feelings while data acquisition.

Sadness: Since the data acquisition included a lot of time effort and working late (partially until 9/10pm) and on weekends, I occasionally was sad not to be with my beloved wife during these times and because I felt she was sad about my working hours, too."
60,"Data collection","Joy about data being collected; interest in seeing the results at a later stage"
61,"Report writing","interest - in seeing how the project is coming together"
62,"Data collection","The most intense feeling for me was amusement, which has to do with data collection setting and practicalities: It is quite fun and a unique experience/environment."
63,"Report writing","Intense work"
64,"Data collection","Compassion: I feel my research ""came alive"" when data collection started. It feels that this is something that I created and I deeply take care about every single bits of it, even if it is not perfect and brings negative emotions. Whatever negative happens, the motivation to care about it immediately regenerates."
65,"Report writing","High interest as almost a default feeling from being able to choose the topic and research approach, rather than being told what to do"
66,"Report writing","Fear (or stress, I would say), that my work is not good enough and that I will never be done writing"
67,"Report writing",""
68,"Data analysis",""
69,"Waiting for journal's response and revisions","My paper has been desk-rejected from two other journals. Currently, the paper is not out for review yet but has been with the editor, so this could mean that the paper is still at risk of a desk reject weeks after it was submitted. It is based on a key chapter in my dissertation, which explains the sense of shame that is attached to the high level of fear."
70,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","I think relief was the most intense feeling, and the cause was that I could finally rest from dedicating so much effort (this paper took a lot of effort and time)"
71,"Preparations (IRB permit, preregistration, experiment preparations)","The projects that I am currently preparing are associated with master theses that I am supervising. Coordinating my own work while being responsible for others has been stressful but also rewarding "
72,"Report writing","Burn out, fear of failure to meet the deadline"
73,"Report writing","The guilt is the most intense feeling I am facing during this period because I experience delays in my work which affect not only my work but the work of the entire team, and I have to consider everyone time and schedules in order to compensate for the lost time."
74,"Report writing","The main cause is fear that I will not be able to complete the work on time "
75,"Project genesis/ first thoughts/ idea creation","I rated fear as 5, because if I don’t get this grant I don’t know what is going to happen with my career and I may not be able to stay in this country"
76,"Report writing",""
77,"Preparations (IRB permit, preregistration, experiment preparations)","Institutional Review Board overreach"
78,"Data analysis","The most intense feeling from the list above was ""interest"". This project is one that is a little outside of my typical field of study, but one that required me to gain the most varied and interesting skills. This gaining of skills led to me experiencing a higher level of interest in the project than typical. As for the level of guilt, which was of similar intensity, I felt a little guilty that I was not able to devote as much effort and work to it as was expected, which would disappoint others."
79,"Project genesis/ first thoughts/ idea creation","[Disappointment] - Having expectations that my collaborators would be equally excited and actively contribute to the discussion because they were the ones who reached out first, wanting to establish the research collaborations. However, they were passive during the first meeting. "
80,"Data analysis","Disappointment because the data did not show the expected effects."
81,"Report writing","I enjoy my research. I love my work. "
82,"Revisions","Reviewer comments indicating they didn't understand what we wrote in the paper. "
83,"Reality check (e.g., literature search, consultation with colleagues)",""
84,"Data analysis","Fear/disappointment - this is the first project I'm leading in a while and I worry that I'm not doing a good job with it. Imposter syndrome, I think."
85,"Preparations (IRB permit, preregistration, experiment preparations)","Stress and guilt because everything took longer than expected and I had hoped to launch the study (fMRI) sooner. But also positive feelings about starting something new and exciting."
86,"Reality check (e.g., literature search, consultation with colleagues)","Dismissal of those in power of the importance of this issue to scientific training."
87,"Data collection","My feelings of pride are a result of the progress I have been seeing one of my grad students make on her thesis. She has put in a great deal of time and effort towards the data collection on her project (a project that requires a lot of time/effort) and I have been feeling good about the progress she has made."
88,"Data collection","Interest, pride, joy, pleasure, contentment, love, and admiration were all high due to the excitement of seeing my research come to life through data collection. Disappointment, fear, and anger were all 6 due to participant no shows and issues with data causing stress and anxiety over the data collection process. "
89,"Data collection","I am generally excited about my research projects when collecting data and analyzing data.  I tend to lose interest a little when writing up the paper... which is a problem! :)"
90,"Preparations (IRB permit, preregistration, experiment preparations)","Difficulties with faculty advisor and IRB committee"
91,"Reality check (e.g., literature search, consultation with colleagues)","Regret for promising so much in our grant that we now have to figure out how to do."
92,"Data collection",""
93,"Data analysis","Curiousity about the output"
94,"Waiting for journal's response and revisions",""
95,"Preparations (IRB permit, preregistration, experiment preparations)","The IRB and associated admin is a true nightmare "
96,"Report writing","Relief: completing a successful paper and getting a major grant"
97,"Report writing","research is just a game...applicability is by far more complex"
98,"Preparations (IRB permit, preregistration, experiment preparations)","excitement about the project"
99,"Report writing",NA
100,"Report writing","I just know to myself and clear to me that I love doing research. It is mot always rainbow.. there are gloomy days but those day do not affect me for a long time. I accepted even what is hurtful in research (out-of-pocket expenses hahaha).o think that is how we love. We acept both good and bad qualities of the oen we love right? We do not tolerate the bad onwa but we accept the person and try to make compro.ise since it takes two to tango."
101,"Report writing",""
102,"Data collection","After analyzing the data, I was thrilled to see a remarkable and unexpected pattern emerge. This is a truly exciting discovery that could significantly change our understanding of the process."
103,"Report writing","incomprehension of science to be reported by colleagues - basically stupidity."
104,"Preparations (IRB permit, preregistration, experiment preparations)","Delays in governance"
105,"Project genesis/ first thoughts/ idea creation","Anxiety and pride go hand in hand in working with others. Anxiety about failing others, pride when events prove these thoughts/feelings being wrong"
106,"Waiting for journal's response and revisions","Multible rejections of my publication from the journals, problems with a superior regarding publication. "
107,"Waiting for journal's response and revisions","Waiting with interest and anticipation for published results"
108,"Data analysis","We have gotten very good and interesting data from the studies (which is honestly not something we always see)."
109,"Data collection",""
110,"Report writing","My direct supervisor and my chief have been in contrast for the entire duration of the project, my supervisor ghosted me for almost the e entire project but in the end they both were recognized in noble paper position and obtained what they wanted. I also received a first position but the environment made me suffer for long time. I just wanted not to see that paper anymore"
111,"Revisions","Interest: This project is a book. I am very interested in the topic and very concerned about ""getting it right"", as well as satisfying the reviewer, whose comments were helpful but incomplete - that is, not even mentioning the parts I was most worried about. The reviewer's attitude also put me off. S/he was setting conditions for final publication. This is what an editor should do, not a reviewer. Hence the small amount of anger."
112,"Report writing","aim reach"
113,"Reality check (e.g., literature search, consultation with colleagues)","scientific curiosity that leads to hypotheses that might work out and create positive outcomes for people"
114,"Data collection","To perform such a project makes you proud"
115,"Report writing","Time pressure and competing priorities"
116,"Project genesis/ first thoughts/ idea creation",""
117,"Data collection","cool project.  MTA process is slowwwwwwwwwwwwwwwwwww."
118,"Revisions","I think what I felt the most was annoyance -- having to go over the same things over and over again"
119,"Revisions",""
120,"Data analysis","Negative feelings due to external and scheduling pressure. Positive feelings because the data and the creation of it was interesting and valuable. Some sad feelings also for compassion with the phenomena studied"
121,"Report writing","Pride of giving my own little piece of contribution to science"
122,"Reality check (e.g., literature search, consultation with colleagues)",""
123,"Report writing","I always feel I could have done better. "
124,"Data analysis",""
125,"Revisions","Sadness. Not emotionally capable to keep doing the best work I have always been doing. "
126,"Data collection","I was quite interested in my project and liked the lab work so I was content even though it was also challenging"
127,"Report writing","connection between the work and how it will be received and my own self worth / identity "
128,"Revisions","It felt great to get the task completed."
129,"Data analysis","Re-reading transcripts about participants' struggles brings out a lot of compassion for their circumstances."
130,"Preparations (IRB permit, preregistration, experiment preparations)","Interest - topic of the research
Fear - fear of missing something vital for the design, fear of irrelevance"
131,"Report writing","The interest I take in the research"
132,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
133,"Waiting for journal's response and revisions","Acceptance, pride "
134,"Revisions","Performing laborious tasks demanded by reviewers while fully be aware that they are pointless."
135,"Report writing","writing"
136,"Preparations (IRB permit, preregistration, experiment preparations)","I am too much behind with the preparations and others are waiting for me. But I have too many things to do in parallel. "
137,"Revisions","Being tired with the project and willing to have it already behind me"
138,"Data analysis","Not meeting the expected timeline I set out. "
139,"Preparations (IRB permit, preregistration, experiment preparations)","I've felt disappointed because of some feedback from early questionnaire testing. The testers complained that the study purpose was unclear and they felt unmotivated to continue with the survey. I found it odd and disappointing because knowing the purpose is not something we want for the participants."
140,"Revisions","Frustration because my coauthors and I disagreed with how to proceed with the revisions from reviewers. We felt one reviewer's comments were all over the place and difficult to address. "
141,"Data collection","proposal rejections"
142,"Revisions","Maybe the stress thah i should do more while doing the research. The feeling the thing i present should be better. But at least its accepted and done"
143,"Reality check (e.g., literature search, consultation with colleagues)","My interest and pride were mainly indicated by me being leader of those project. It is first time I am coordinating project of this ambition and scale, so I am glad to have this opportunity :)"
144,"Report writing",""
145,"Revisions","not finishing the revision by my goal deadline"
146,"Data collection",""
147,"Data collection","Contentment -- happy that data are rolling in and there doesn't appear to be an issue"
148,"Data analysis",""
149,"Report writing",""
150,"Waiting for journal's response and revisions","As a senior researcher who has published extensively over the past five years, and with considerable experience in writing and publishing academic articles, the most intense feeling I experience is pressure, but also pleasure, contentment, and relief when the paper is published. These feelings primarily stem from the continuous expectations—both internal and external—to maintain a high level of productivity and scholarly contribution. Balancing ongoing research projects, publication deadlines, and the need to uphold the quality of my work often creates a sustained sense of pressure, which I identified as the dominant emotion in this context."
151,"Waiting for journal's response and revisions",""
152,"Report writing","The opportunity to be original "
153,"Data analysis","Pressure to finish the analysis"
154,"Report writing","I fear failure. "
155,"Data collection","stress, pressure. too tight deadlines, not do-able"
156,"Revisions","fear if it is rejected."
157,"Project genesis/ first thoughts/ idea creation","General interest in the subject matter."
158,"Reality check (e.g., literature search, consultation with colleagues)",""
159,"Reality check (e.g., literature search, consultation with colleagues)","I am very excited about the theoretical framework I am building. I have been talking to people, those working outside of my expertise and I am learning so many new things!"
160,"Project genesis/ first thoughts/ idea creation","I enjoy this stage of the project"
161,"Revisions","Doing this kind of work requires high interest... it's impossible to do it otherwise :)"
162,"Report writing","Uncertainity of the results, and overall process, especially the  financial part is hard to finish."
163,"Reality check (e.g., literature search, consultation with colleagues)","interest, curiosity about the literature "
164,"Waiting for journal's response and revisions","Disappointment because we have been waiting nearly a year for the corrections to come. It means we can’t continue with other work "
165,"Revisions","Being in a situation where acceptance is imminent."
166,"Data collection","The research results may help vulnerable patients"
167,"Data analysis","Pride: in my own ability to write code of complexity/with speed I would not have been capable of a few years ago."
168,"Data collection",""
169,"Reality check (e.g., literature search, consultation with colleagues)","The project focused on the feelings of living heritage after the 2023 Maraş/Türkiye earthquake using AI-based sentiment analysis. The interviews really pushed me hard. Some (2 respondents) couldn't even talk (became stutterers due to severe trauma), 3 were missing out of 18 artisans contacted. "
170,"Data collection","it was a relief as it took us a while to design the task and begin the data collection. I'm excited to see the results. I didn't have any particular bad feelings, except some frustration as we had difficulty with the IT and access to the labs.  "
171,"Data collection","Time constraint and group dynamics. Interviewing people is always emotional to me."
172,"Data collection","Conducting research that may potentially be helpful to the others makes me feel pretty good, but sometimes can be tired and lonely because of the extensive work."
173,"Project genesis/ first thoughts/ idea creation","sense of purpose of the work being designed"
174,"Project genesis/ first thoughts/ idea creation","Pride; because I believe I've had a great research ideia to explore in a field that is new to me."
175,"Preparations (IRB permit, preregistration, experiment preparations)","fear of failure"
176,"Revisions","Interest - it is always interesting to read about your own work"
177,"Data analysis","Joy because of satisfied curiosity "
178,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Interest and contentment.
It was my first major publication, and it felt nice to finally be done with such a large project, collaboration across multiple fields, and interest in how the project would be accepted."
179,"Waiting for journal's response and revisions",""
180,"Data analysis","Interest to see the final results and expecting to build a new project based on this data"
181,"Report writing","This project relates to history in my subject for which I have been collecting material since the 1970s, worked on during a mid career sabbatical off clinical service mid 1990s and have recently revisited to give and invited lecture on the subject in the within the past week."
182,"Waiting for journal's response and revisions","As a writer whose second language is English, I sometimes feel exhausted and tired because of the biased attitudes and approaches of the editorial board and editors. "
183,"Data collection","I organized the project and feel excited to make progress."
184,"Report writing","The data were collected by a Master's student that I supervise. Therefore, I felt some interest, pride, joy, pleasure, and contentment when assessing the student's achievement. "
185,"Project genesis/ first thoughts/ idea creation","N/A"
186,"Report writing","My highest rated emotion was relief. This was driven by the completion of the data collection on various different studies and the progress towards writing them up for publication. Following that was a general sense of fear or trepidation about the eventual outcome of the publications. This is driven more personally due to my own mental health and the presence of general anxiety and depression."
187,"Reality check (e.g., literature search, consultation with colleagues)","Time flies, no balance with private life"
188,"Preparations (IRB permit, preregistration, experiment preparations)","One trains to be a scientist and then spends hours talking with lawyers and organizing data usage agreements, ethics approvals, etc etc, in order to receive data. its never clear if it will actually work out, and yet it is very time consuming. it is mentally uninteresting and laborious."
189,"Preparations (IRB permit, preregistration, experiment preparations)","I expect people to be more competent and involved than they are, and when they aren't it's disappointing. (When they are, it's a relief)"
190,"Waiting for journal's response and revisions","Research and impact not understood  by editor"
191,"Revisions","Interest as revision process is challenging and mentally stimulating "
192,"Revisions","Writing on a topic that I am passionate about"
193,"Preparations (IRB permit, preregistration, experiment preparations)","sense of accomplishment."
194,"Preparations (IRB permit, preregistration, experiment preparations)","The undergraduate student whose senior honors thesis I was supervising had not written a 10-page paper in two years and was wholly unprepared for how much work it would take. I spent three weeks dragging her through the process of writing her thesis proposal."
195,"Waiting for journal's response and revisions","I was relived when the paper was accepted."
196,"Revisions",""
197,"Project genesis/ first thoughts/ idea creation","I just started my postdoc job at my dream lab, and I am excited to start shaping my new project."
198,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","We had submitted this to multiple places, and I felt somewhat sick of the project at this point, so the thought of not needing to work on it again made me feel relieved."
199,"Data analysis","Fear to not be analyzing data correctly as I was responsible for the analysis myself "
200,"Reality check (e.g., literature search, consultation with colleagues)","Interest: The topic of my project hits very close to home, it's the first I get to study something which is based in my country of origin"
201,"Report writing","I just want to get my paper published, so report writing is kind of a happy thing."
202,"Revisions","Interest: I felt as I revised that I was learning more about something that was relevant to patient care."
203,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","All the positive feelings. The cause is that the project is something I really love and I took so much time to prepare all the materials. I feel like I’’m finally getting what I deserve."
204,"Report writing","Relief to have found a meaningful effect that could make it into a publication. "
205,"Revisions","None of the above, sometimes it just feels lonely!"
206,"Data collection","Good team work. Positive feelings"
207,"Report writing",""
208,"Waiting for journal's response and revisions","Glad to have submitted that paper but frustrated at the peer review process, particularly of having your hard work rejected."
209,"Data analysis","Our supervisors who made us feel upset that we were exploring the data and angry because everyone else was not struggling. We found it was due to an error on their part."
210,"Waiting for journal's response and revisions","imporoving the work"
211,"Report writing","I am very curious and I feel really happy writing my results after my investigacion"
212,"Report writing","Fear: I'm often plagued with the fear that there is literature I haven't discovered yet which would radically transform the interpretation, novelty, or impact of my project."
213,"Report writing",""
214,"Project genesis/ first thoughts/ idea creation","I feel bad feelings related to adminisitrators, System, editorials and bussiness.
I have positive feelings related to people, patients, and investigation itself "
215,"Report writing","interest and pride. about original work."
216,"Preparations (IRB permit, preregistration, experiment preparations)","Although there many hurdles, the project is in the core of my research interest, and I truly believe the results could lead to better outcomes, helping breast cancer patients across the globe."
217,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)"," Desire to share my findings with other researchers"
218,"Report writing","I’m working on a book, and this is my first time book-writing. It’s also a collaborative project which comes with its own challenges because a lot of emotion goes into figuring out the right balance of whether to revise my collaborator’s work or whether doing so might make her feel bad. The positive emotions come from the contentment that I feel in expressing my ideas through my writing, and I also feel like I learn a lot from my participants, which is a really positive emotional experience. I feel honored to tell their stories"
219,"Data analysis","I find the challenge of complex tasks stimulating and interesting. "
220,"Revisions","I felt pride most intensely because I am proud of the work and believe the revisions were well done and highlight the value of the research. "
221,"Report writing","Interest pride and contentment that we were finally reporting data acquired through multi-year projects."
222,"Waiting for journal's response and revisions",""
223,"Data analysis","Interesting results for scientists and non-experts"
224,"Report writing","I get satisfaction and enjoyment preparing a publication"
225,"Data analysis","How the last data fit the previous data and the whole (already constructed) concept. "
226,"Data collection",""
227,"Preparations (IRB permit, preregistration, experiment preparations)","interest because this is something that is laying on my plate for a long time"
228,"Project genesis/ first thoughts/ idea creation","Interesting challenge project"
229,"Project genesis/ first thoughts/ idea creation","Project was a long term endeavour testing a question I had been considering for some time.  Was deeply satisfying to see it come to fruition."
230,"Project genesis/ first thoughts/ idea creation","Met a colleague who wants to collaborate and has good data. Very interesting. Also relevant to my own future directions. "
231,"Revisions","Disappointment - external peer reviewers did not appear to have understood the main points from our manuscript. This was akin to telling a joke that was not understood!"
232,"Data collection","Na"
233,"Reality check (e.g., literature search, consultation with colleagues)","Interest in the project and pride that  I have new ideas and energy  to prepare and submit a new grant"
234,"Waiting for journal's response and revisions","As this step is so common, I did not feel strong emotion."
235,"Preparations (IRB permit, preregistration, experiment preparations)","Interest - because I am highly engaged with the project and invested in making it the best it can be"
236,"Data collection","I am very curious to see if the results of the experiments will confirm our hypothesis or lead to some unexpected directions."
237,"Project genesis/ first thoughts/ idea creation","I did not want to join this project but i had to"
238,"Data collection","Interest for the project"
239,"Data collection","Delays in ethical and community approval for data collection"
240,"Data collection","I believe that data collection, and later on data analysis, is one of the most interesting and pleasuring parts of the research process. I like planning and organizing the instruments for data collection and running several scenarios for data analysis."
241,"Report writing","All negative emotions are caused by being busy and not getting enough sleep."
242,"Preparations (IRB permit, preregistration, experiment preparations)",""
243,"Waiting for journal's response and revisions",""
244,"Project genesis/ first thoughts/ idea creation",""
245,"Revisions",""
246,"Report writing","Because the end of data collection and analysis in a research project marks the closest we are to the formal presentation of our results to the research audience, and the start of writing the results is the next step."
247,"Project genesis/ first thoughts/ idea creation",""
248,"Project genesis/ first thoughts/ idea creation",""
249,"Report writing","Writing stage is exciting and elicits my interest."
250,"Data analysis","Interst - i believe that my project is truly fascinating and i'm waiting with excitement for conclusions from resoults"
251,"Project genesis/ first thoughts/ idea creation","I like my work, when I can think about research with colleagues it brings me away from the endless, useless, boring and incoherent paperwork and bureaucratic load that professors endure."
252,"Report writing","Shame: having to write something up that could be of much better quality, had the project been planned better and with a bit more foresight"
253,"Project genesis/ first thoughts/ idea creation","My most intense feelings are interest and joy because I'm thinking of a new project that I might be able to run as a side-project, and it's intersting and joyful"
254,"Data collection","During the data collection of the last project I was involved, I was mostly curious about how the results would look like. In fact, I was trying to draw some conclusions already in my head based on the input I was collecting."
255,"Data analysis","pride, as the project was thought, initiated, and developed by me only (with some feedbacks of course)"
256,"Waiting for journal's response and revisions","waiting for information"
257,"Preparations (IRB permit, preregistration, experiment preparations)","This was for my masters project, so I felt extremely stressed about all the work im putting into developing my project with the possibility that it doesn't work out"
258,"Reality check (e.g., literature search, consultation with colleagues)","Guilt and fear for feeling like I am not far enough along in my dissertation lit review/intro writing. Guilt for procrastinating and fear of both how much work there is to do and consequences for possibly submitting my proposal late."
259,"Preparations (IRB permit, preregistration, experiment preparations)","Doing something that is interesting and is a challenge that can be rewarded"
260,"Revisions","I was very pleased that we got a Revise & Resubmit after a previous rejection. Some of the reviewer comments for revisions made me disappointed and upset because they seemed to miss important parts of our argument and study design and want those changed."
261,"Data collection","The project I am doing is very interesting and important for me."
262,"Report writing","fear of failing and guilt of beeing too slow"
263,"Project genesis/ first thoughts/ idea creation","Interest, because I am very curious about the topic"
264,"Report writing","Its just a job"
265,"Data analysis","For positive emotions, I experienced interest and pleasure because data analysis always feels like the moment of getting to see whether my initial predictions come to fruition. I also love the feeling of being done with data collection (which is so messy), when I can sit, just me and my data, and begin analyzing. It's my favorite part of the research lifecycle. For negative emotions, I felt fear because I've been away from research for some time, and in a couple of months I will present these findings for the first time. My anxiety is high because I don't know if I remember how to present well, or how my data will be received."
266,"Data analysis","General interest in research and in the specific topic. "
267,"Preparations (IRB permit, preregistration, experiment preparations)","Fear - I have been scared of something going wrong. I am doing multiple important tasks at once (thesis and applications) and I am afraid that doing one thing wrong will result in more work and energy which I don't think I have the time for right now. "
268,"Data collection","Finally moving forward on the project is a good feeling. However I am needing to balance it with other things leading to some minor guilt, and also fear/worry about recruitment, particularly with the oddities of federal funding in the United States at the moment I have a shortened timeline to conduct the research."
269,"Preparations (IRB permit, preregistration, experiment preparations)","Positive emotions were caused by progress on project (IRB submission, approval, protocol completion), negative emotions were caused by impediments to project (broken equipment, internet access issues in my lab, errors made by my lab manager)"
270,"Revisions","I wish the project had turned out better and had been better received. I also wish I hadn't procrastinated as much and therefore needed to do much updating of the work. I am pretty sick of this project at this point. "
271,"Report writing","I get stressed out and angry when I work on late stage papers."
272,"Report writing","The most intense feeling was interest, and its primary cause was the satisfaction of writing the results and discovering the answers to our main research questions."
273,"Revisions","Moderate contentment that our work is close to reach the scientific community. Slight disappointment that the community in my field that will appreciate the work could be larger."
274,"Project genesis/ first thoughts/ idea creation","I love coming up with new ideas, but the extreme competition in the field makes everything have a flip side, in which one wonders if one could have done things better, and what the outcome of the grant will be.  This is the worst part about science,"
275,"Data analysis","Interest. I particularly enjoy this part of the work, and I learn a lot from it, so that is why I experienced high interest. I'm also collaborating with researchers that I have not worked with before, which contributes to my high interest, as it is exciting and novel."
276,"Reality check (e.g., literature search, consultation with colleagues)",""
277,"Preparations (IRB permit, preregistration, experiment preparations)","I reported interest as my most intense feeling while working on the early stages of launching a project (e.g., IRB). The main cause of this is the excitement of starting a new project. There is slight anxiety, in hoping that I plan the study properly. But overall, I am interested in how it will turn out."
278,"Revisions","We got very thorough and clever reviews for our submitted manuscript that really showed appreciation for our work and genuinely helped improve it. This is not always the case, so I had a lot of positive feelings while working on the revisions. I also had time to do them, which is also rare, as usually there are many other competing priorities."
279,"Project genesis/ first thoughts/ idea creation","the process of the work"
280,"Revisions","interest"
281,"Preparations (IRB permit, preregistration, experiment preparations)","Because it's a project for which I'm first author, the subject matter we're researching is particularly interesting to me. "
282,"Report writing","pride about the fact that we managed to finish a complex, multinational, multicenter study"
283,"Report writing","Writing is a persistent process that requires multiple sessions. "
284,"Waiting for journal's response and revisions","Disappointment; getting second revisions and rejection for nonsense comments."
285,"Data analysis","I run into problems in the dataset that I try to solve by checking the data archive, which slows down the analysis"
286,"Preparations (IRB permit, preregistration, experiment preparations)","The study was stuck getting through the scientific review committee. They had unreasonable requests due to lack of knowledge/understanding research in my field"
287,"Report writing","Fear. Report writing is fragile stage. I am responsible for writing it but my co authors will judge it and correct it at least 10 times before completion. I fear of their comments, I fear of how much time it will take and then I fear when we submit it to a journal that the circle starts again. Nothing is definite, I’m not even sure that the project was worth it. I question everything about the work, my competence and the significance of the results. "
